"Номер заказа";"Номер отправления";"Принят в обработку";"Дата отгрузки";"Статус";"Дата доставки";"Фактическая дата передачи в доставку";"Сумма отправления";"Код валюты отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Код валюты товара";"Стоимость товара для покупателя";"Код валюты покупателя";"Количество";"Стоимость доставки";"Связанные отправления";"Цена товара до скидок";"Скидка %";"Скидка руб";"Акции";"Подъем на этаж"
"0182222867-0134";"0182222867-0134-1";"2025-03-16 15:55:16";"2025-03-16 19:30:00";"Ожидает сборки";;;"1202.00";"RUB";"Трос газа для Yamaha, Hidea, Gladiator, Parsun, HDX 9.9-25 - 6L2-26301-01";"1431465600";"15A-701023";"601.00";"RUB";"0.00";;"2";;;"601.00";"0%";"0.00";;
"55561870-0028";"55561870-0028-1";"2025-03-16 16:05:43";"2025-03-16 19:30:00";"Ожидает сборки";;;"1034.00";"RUB";"Проставка гайки гребного винта Yamaha, Gladiator - 689-45997-00";"1714000864";"30F-06.00.00.02";"1034.00";"RUB";"0.00";;"1";;;"1034.00";"0%";"0.00";;
"52740855-0175";"52740855-0175-1";"2025-03-16 16:06:30";"2025-03-16 19:30:00";"Ожидает сборки";;;"6400.00";"RUB";"Топливный бак для лодочного мотора 24 литра для Yamaha, Hidea, Gladiator и других китайских моторов (в комплекте с топливным шлангом грушей и коннекторами)";"1575544502";"Sborka24";"6400.00";"RUB";"0.00";;"1";;;"6400.00";"0%";"0.00";;
"56408803-0135";"56408803-0135-1";"2025-03-16 16:16:10";"2025-03-16 19:30:00";"Ожидает сборки";;;"981.00";"RUB";"Тяга переключения передач в сборе, нижняя S для лодочного мотора Tohatsu, HDX, Hidea, Sea-Pro, Gladiator 6/8/9.8 - 3B2-66012-0";"1463130415";"98A-801039";"981.00";"RUB";"0.00";;"1";;;"981.00";"0%";"0.00";;
"69925699-1290";"69925699-1290-1";"2025-03-16 16:35:17";"2025-03-16 19:30:00";"Ожидает сборки";;;"255.00";"RUB";"Штифт Tohatsu/Gladiator/HDX 2, 2.5, 3.5, 6, 8, 9.8 - 3B2-65022-0";"1632160625";"98A-801027";"255.00";"RUB";"0.00";;"1";;;"255.00";"0%";"0.00";;
"33706282-0144";"33706282-0144-1";"2025-03-16 16:54:11";"2025-03-16 19:30:00";"Ожидает сборки";;;"438.00";"RUB";"Уплотнение трубы водяной Tohatsu/Gladiator/Hidea 6, 8, 9.8 - 331-65014-0";"1632161165";"98A-801042";"219.00";"RUB";"0.00";;"2";;;"219.00";"0%";"0.00";;
"33706282-0144";"33706282-0144-1";"2025-03-16 16:54:11";"2025-03-16 19:30:00";"Ожидает сборки";;;"255.00";"RUB";"Штифт Tohatsu/Gladiator/HDX 2, 2.5, 3.5, 6, 8, 9.8 - 3B2-65022-0";"1632160625";"98A-801027";"255.00";"RUB";"0.00";;"1";;;"255.00";"0%";"0.00";;
"33706282-0144";"33706282-0144-1";"2025-03-16 16:54:11";"2025-03-16 19:30:00";"Ожидает сборки";;;"534.00";"RUB";"Кольцо уплотнительное Tohatsu, Gladiator - 369-66021-1";"1760911539";"05A-801048";"267.00";"RUB";"0.00";;"2";;;"267.00";"0%";"0.00";;
"90896380-0104";"90896380-0104-2";"2025-03-16 17:09:40";"2025-03-16 19:30:00";"Ожидает сборки";;;"560.00";"RUB";"Кожух черный, уплотнительная манжета, муфта для рулевого троса в лодку, катер";"486093346";"010192BT";"560.00";"RUB";"0.00";;"1";;;"560.00";"0%";"0.00";;
"30723945-0350";"30723945-0350-1";"2025-03-16 17:15:50";"2025-03-16 19:30:00";"Ожидает сборки";;;"1264.00";"RUB";"Крышка катка для BRP SM-04431 - 503192771";"474947681";"SM-04431";"632.00";"RUB";"0.00";;"2";;;"725.00";"13%";"186.00";"Бустинг х3. Без ограничения срока действия";
