"Номер заказа";"Номер отправления";"Принят в обработку";"Дата отгрузки";"Статус";"Дата доставки";"Фактическая дата передачи в доставку";"Сумма отправления";"Код валюты отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Код валюты товара";"Стоимость товара для покупателя";"Код валюты покупателя";"Количество";"Стоимость доставки";"Связанные отправления";"Цена товара до скидок";"Скидка %";"Скидка руб";"Акции";"Подъем на этаж"
"52418603-0143";"52418603-0143-8";"2025-03-03 20:50:52";"2025-03-03 19:30:00";"Ожидает сборки";;;"1120.00";"RUB";"Кожух для пучка тросов черный";"486093094";"010191BT";"560.00";"RUB";"0.00";;"2";;;"896.00";"38%";"672.00";"Системная виртуальная скидка селлера";
"04013266-0224";"04013266-0224-1";"2025-03-03 21:53:25";"2025-03-04 19:30:00";"Ожидает сборки";;;"350.00";"RUB";"Клей REAKTOR Армированный, цвет СЕРЫЙ 15мл. Особо прочный ""ГЕЛЬ-ЗАПЛАТКА"" / для изделий из ПВХ без латок / Герметик для лодки";"835705740";"000022R";"350.00";"RUB";"0.00";;"1";;;"409.00";"14%";"59.00";"Бустинг х4. Без ограничения срока действия";
"68706723-0083";"68706723-0083-3";"2025-03-03 22:08:36";"2025-03-04 19:30:00";"Ожидает сборки";;;"1781.00";"RUB";"Крыльчатка для Suzuki DF90/115/140/150/175";"1554927209";"SK17461-90J01";"1781.00";"RUB";"0.00";;"1";;;"2850.00";"38%";"1069.00";"Системная виртуальная скидка селлера";
"0151105606-0032";"0151105606-0032-1";"2025-03-03 23:39:32";"2025-03-04 19:30:00";"Ожидает сборки";;;"4416.00";"RUB";"Регулятор давления топлива для снегохода Arctic Cat SM-07280 - 1670-536";"437910670";"SM-07280";"4416.00";"RUB";"0.00";;"1";;;"7066.00";"38%";"2650.00";"Системная виртуальная скидка селлера";
"47213696-0021";"47213696-0021-1";"2025-03-03 23:51:11";"2025-03-04 19:30:00";"Ожидает сборки";;;"636.00";"RUB";"Тройник леера 25.4мм, 60 град, левый";"486090774";"0644-0125";"636.00";"RUB";"0.00";;"1";;;"1018.00";"38%";"382.00";"Системная виртуальная скидка селлера";
"0141170784-0059";"0141170784-0059-1";"2025-03-04 00:17:17";"2025-03-04 19:30:00";"Ожидает сборки";;;"4350.00";"RUB";"Накладка на лыжи №28 для снегохода РМ Тайга (1190х290х6) - 2 шт";"713029219";"4028-Ч";"4350.00";"RUB";"0.00";;"1";;;"7830.00";"44%";"3480.00";"Системная виртуальная скидка селлера";
"02695700-0317";"02695700-0317-1";"2025-03-04 00:51:53";"2025-03-04 19:30:00";"Ожидает сборки";;;"10640.00";"RUB";"Винт гребной Solas 9.25x11 для Yamaha/Honda/Gladiator 9.9-20 л.с.";"461597580";"3111-093-11";"10640.00";"RUB";"0.00";;"1";;;"17024.00";"38%";"6384.00";"Системная виртуальная скидка селлера";
"0104129846-0155";"0104129846-0155-2";"2025-03-04 01:07:48";"2025-03-04 19:30:00";"Ожидает сборки";;;"10640.00";"RUB";"Винт гребной Solas 9.25x11 для Yamaha/Honda/Gladiator 9.9-20 л.с.";"461597580";"3111-093-11";"10640.00";"RUB";"0.00";;"1";;;"17024.00";"38%";"6384.00";"Системная виртуальная скидка селлера";
"0130793110-0014";"0130793110-0014-1";"2025-03-04 02:18:53";"2025-03-04 19:30:00";"Ожидает сборки";;;"27906.00";"RUB";"Корпус редуктора ЧЕРНЫЙ - 66T-45311-01-4D, 66T-45311-01-8D";"1627302948";"40F-06.01.01";"27906.00";"RUB";"0.00";;"1";;;"50231.00";"44%";"22325.00";"Системная виртуальная скидка селлера";
"0126755508-0123";"0126755508-0123-1";"2025-03-04 04:09:51";"2025-03-04 19:30:00";"Ожидает сборки";;;"265.00";"RUB";"Прокладка основания помпы для Yamaha, Hidea, Gladiator, Parsun, HDX 9.9/15 - 63V-45315-A0";"1442409655";"15A-801023";"265.00";"RUB";"0.00";;"1";;;"550.00";"52%";"285.00";"Системная виртуальная скидка селлера";
"0101372968-0152";"0101372968-0152-1";"2025-03-04 04:36:29";"2025-03-04 19:30:00";"Ожидает сборки";;;"212.00";"RUB";"Тяга дроссельной заслонки для лодочного мотора Tohatsu, HDX, Hidea, Sea-Pro, Gladiator 6/8/9.8 - 3B2-63716-0";"1472475906";"98A-702012";"212.00";"RUB";"0.00";;"1";;;"382.00";"44%";"170.00";"Системная виртуальная скидка селлера";
"67942683-0299";"67942683-0299-1";"2025-03-04 04:36:37";"2025-03-04 19:30:00";"Ожидает сборки";;;"501.00";"RUB";"Фиксатор тяги - 345-05223-1";"1632162333";"98A-400027";"501.00";"RUB";"0.00";;"1";;;"1203.00";"58%";"702.00";"Системная виртуальная скидка селлера";
"0114007615-0028";"0114007615-0028-3";"2025-03-04 05:35:59";"2025-03-04 19:30:00";"Ожидает сборки";;;"700.00";"RUB";"Тросик спидометра без рубашки 53 х 2,5 (мм) 12-163 - 3280017";"827057269";"12-163";"700.00";"RUB";"0.00";;"1";;;"1120.00";"38%";"420.00";"Системная виртуальная скидка селлера";
