"Номер заказа";"Номер отправления";"Принят в обработку";"Дата отгрузки";"Статус";"Дата доставки";"Фактическая дата передачи в доставку";"Сумма отправления";"Код валюты отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Код валюты товара";"Стоимость товара для покупателя";"Код валюты покупателя";"Количество";"Стоимость доставки";"Связанные отправления";"Цена товара до скидок";"Скидка %";"Скидка руб";"Акции";"Подъем на этаж"
"47376551-0276";"47376551-0276-2";"2025-04-08 06:24:52";"2025-04-08 19:30:00";"Ожидает сборки";;;"1923.00";"RUB";"Фильтр топливный универсальный для снегохода - UP-07100-1";"439507236";"UP-07100-1";"641.00";"RUB";"0.00";;"3";;;"641.00";"0%";"0.00";;
"22950603-0345";"22950603-0345-1";"2025-04-08 06:45:33";"2025-04-08 19:30:00";"Ожидает сборки";;;"1011.00";"RUB";"Фиттинг топливный для Yamaha/Mercury адаптер, латунь";"486099159";"C14510";"1011.00";"RUB";"0.00";;"1";;;"1011.00";"0%";"0.00";;
"77000836-0325";"77000836-0325-1";"2025-04-08 07:10:28";"2025-04-08 19:30:00";"Ожидает сборки";;;"481.00";"RUB";"Кожух для пучка тросов черный";"486093094";"010191BT";"481.00";"RUB";"0.00";;"1";;;"481.00";"0%";"0.00";;
"43712449-0265";"43712449-0265-1";"2025-04-08 07:15:10";"2025-04-08 19:30:00";"Ожидает сборки";;;"1849.00";"RUB";"Съемник пружин глушителя для снегохода SM-12206";"488219918";"SM-12206";"1849.00";"RUB";"0.00";;"1";;;"1849.00";"0%";"0.00";;
"57161758-0180";"57161758-0180-1";"2025-04-08 09:35:41";"2025-04-08 19:30:00";"Ожидает сборки";;;"3132.00";"RUB";"Опора (подушка) двигателя для снегоходов BRP Ski-Doo/Lynx 512060387 - SM-09560";"431588963";"SM-09560";"3132.00";"RUB";"0.00";;"1";;;"3132.00";"0%";"0.00";;
"56762991-0471";"56762991-0471-1";"2025-04-08 10:29:45";"2025-04-08 19:30:00";"Ожидает сборки";;;"605.00";"RUB";"Фиксатор эксцентриковый 74х13.1мм, нержавеющая сталь";"1235092882";"SF31183-1";"605.00";"RUB";"0.00";;"1";;;"605.00";"0%";"0.00";;
"06323168-1076";"06323168-1076-1";"2025-04-08 10:31:33";"2025-04-08 19:30:00";"Ожидает сборки";;;"903.00";"RUB";"Сухарики ведомого вариатора (3 шт) для снегоходов Yamaha Viking VK 540, 8X6-17688-00 - 03-151-11T";"438633259";"03-151-11T";"903.00";"RUB";"0.00";;"1";;;"903.00";"0%";"0.00";;
"0111390092-0601";"0111390092-0601-1";"2025-04-08 10:33:57";"2025-04-08 19:30:00";"Ожидает сборки";;;"756.00";"RUB";"Собачка ручного стартера для снегохода Yamaha Viking VK 540 8F3-15741-01-00 - 11-319";"440027121";"11-319";"756.00";"RUB";"0.00";;"1";;;"756.00";"0%";"0.00";;
"34806579-0115";"34806579-0115-1";"2025-04-08 11:05:19";"2025-04-08 19:30:00";"Ожидает сборки";;;"662.00";"RUB";"Фиттинг топливный для Suzuki коннектор";"486343519";"C14503";"662.00";"RUB";"0.00";;"1";;;"662.00";"0%";"0.00";;
"0157876066-0006";"0157876066-0006-1";"2025-04-08 12:09:13";"2025-04-08 19:30:00";"Ожидает сборки";;;"3395.00";"RUB";"Склизы графитовые для гусеницы снегоходов Yamaha Viking VK 540, Viking Professional (профиль №25) 163 см - 2 шт";"678451696";"3002-Г";"3395.00";"RUB";"0.00";;"1";;;"4250.00";"20%";"855.00";"Бустинг х4. Без ограничения срока действия";
